allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class_new,subclass_new,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,mut_acc,key,enhanced_class,enhanced_subclass,Status,Previous_class,Previous_subclass,NS Changes,NS comments
,aadA1,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846288.1,NG_052335.1,No,AIA09246.1,KJ579054.1,+,4178,4969,+,101,892,,,,aadA1,2026-03-24.1,__NG_052335.1,WP_071846288.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA1,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_046622360.1,NG_052536.1,No,KKJ21274.1,LBLX01000046.1,+,120,911,+,101,892,,,,aadA1,2026-03-24.1,__NG_052536.1,WP_046622360.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA1,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_001206317.1,NG_047326.1,No,AAB59083.4,M95287.4,+,3320,4111,+,101,892,"13,342,682,821,509",,,aadA1,2026-03-24.1,__NG_047326.1,WP_001206317.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA1,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_001206316.1,NG_047324.1,No,CAA31362.1,X12870.1,+,1299,2090,+,101,892,"2,986,186,769,529,920,000,000",,,aadA1,2026-03-24.1,__NG_047324.1,WP_001206316.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA10,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA10,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_070342359.1,NG_051878.1,No,CAR63505.1,FM207632.1,+,627,1472,+,101,946,,,,aadA10,2026-03-24.1,__NG_051878.1,WP_070342359.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA10,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA10,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846261.1,NG_052302.1,No,AGY30799.1,KF525276.1,+,735,1568,+,101,934,,,,aadA10,2026-03-24.1,__NG_052302.1,WP_071846261.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA10,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA10,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846266.1,NG_052307.1,No,AGY30806.1,KF525282.1,+,107,940,+,101,934,,,,aadA10,2026-03-24.1,__NG_052307.1,WP_071846266.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA10,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA10,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846327.1,NG_052411.1,No,AGY30882.1,KF525339.1,+,618,1451,+,101,934,,,,aadA10,2026-03-24.1,__NG_052411.1,WP_071846327.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA10,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA10,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_025991879.1,NG_047329.1,No,AAL36430.1,U37105.2,+,2807,3640,+,101,934,12121911,,,aadA10,2026-03-24.1,__NG_047329.1,WP_025991879.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA11,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_032495379.1,NG_047331.1,No,CAD99015.1,AJ567827.1,+,1,792,+,1,792,,,,aadA11,2026-03-24.1,__NG_047331.1,WP_032495379.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA11,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_011600630.1,NG_051873.1,No,CAK02671.1,AM261282.1,+,23620,24411,+,101,892,,,,aadA11,2026-03-24.1,__NG_051873.1,WP_011600630.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA11,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_048608579.1,NG_047330.1,No,AAN60064.1,AY144590.1,+,1,846,+,1,846,16451415,,,aadA11,2026-03-24.1,__NG_047330.1,WP_048608579.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA11,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_063840415.1,NG_047332.1,No,ABG76944.1,DQ778997.1,+,107,952,+,101,946,17298366,,,aadA11,2026-03-24.1,__NG_047332.1,WP_063840415.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA11,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846267.1,NG_052308.1,No,AGY30807.1,KF525283.1,+,107,898,+,101,892,,,,aadA11,2026-03-24.1,__NG_052308.1,WP_071846267.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA12,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_031306504.1,NG_047333.1,No,AAV49760.1,AY665771.1,+,1,792,+,1,792,19538087,,,aadA12,2026-03-24.1,__NG_047333.1,WP_031306504.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA12,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846268.1,NG_052309.1,No,AGY30808.1,KF525284.1,+,107,898,+,101,892,,,,aadA12,2026-03-24.1,__NG_052309.1,WP_071846268.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA13,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_012414180.1,NG_047335.1,No,CAQ48379.1,AM901564.1,-,34997,35794,+,101,898,18268088,,,aadA13,2026-03-24.1,__NG_047335.1,WP_012414180.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA13,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_001424636.1,NG_047334.1,No,AAV49321.1,AY713504.1,+,1,798,+,1,798,18268088,,,aadA13,2026-03-24.1,__NG_047334.1,WP_001424636.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA13,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA13,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846269.1,NG_052310.1,No,AGY30809.1,KF525285.1,+,107,904,+,101,898,,,,aadA13,2026-03-24.1,__NG_052310.1,WP_071846269.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA15,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA15,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_025672409.1,NG_047338.1,No,ABD58917.1,DQ393783.1,+,1800,2591,+,101,892,16816399,,,aadA15,2026-03-24.1,__NG_047338.1,WP_025672409.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA15,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA15,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_070342366.1,NG_051891.1,No,AEH57064.1,HQ386835.1,+,3862,4653,+,101,892,21496063,,,aadA15,2026-03-24.1,__NG_051891.1,WP_070342366.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA15,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA15,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846190.1,NG_052144.1,No,AEX31566.1,JN588535.1,+,108,899,+,101,892,,,,aadA15,2026-03-24.1,__NG_052144.1,WP_071846190.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA16,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA16,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_032492255.1,NG_047340.1,No,ACF17980.1,EU675686.2,+,3197,4042,+,101,946,19008256,,,aadA16,2026-03-24.1,__NG_047340.1,WP_032492255.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA16,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA16,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_001749984.1,NG_047339.1,No,ACD45687.1,KP076293.1,+,3002,3847,+,101,946,25870070,,,aadA16,2026-03-24.1,__NG_047339.1,WP_001749984.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA1bt,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1bt,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071593208.1,NG_052032.1,No,CAQ51305.3,AM991330.2,+,107,898,+,101,892,,,,aadA1bt,2026-03-24.1,__NG_052032.1,WP_071593208.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA1bt,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1bt,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071593205.1,NG_052031.1,No,CAQ76924.2,FM179327.2,+,684,1475,+,101,892,,,,aadA1bt,2026-03-24.1,__NG_052031.1,WP_071593205.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_032490336.1,NG_064655.1,No,BAD77821.1,AB196348.1,+,1011,1802,+,101,892,"1,645,118,216,785,710",,,aadA2,2026-03-24.1,__NG_064655.1,WP_032490336.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846218.1,NG_052228.1,No,AAC98493.1,AF071555.1,+,1961,2752,+,101,892,10103189,,,aadA2,2026-03-24.1,__NG_052228.1,WP_071846218.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846222.1,NG_052232.1,No,AAF34176.1,AF203817.1,+,71,862,+,71,862,11055933,,,aadA2,2026-03-24.1,__NG_052232.1,WP_071846222.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_070342357.1,NG_051848.1,No,AAF97630.1,AF221903.1,+,107,898,+,101,892,,,,aadA2,2026-03-24.1,__NG_051848.1,WP_070342357.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_001261740.1,NG_051846.1,No,AAF87686.1,AF227505.1,+,1918,2709,+,101,892,,,,aadA2,2026-03-24.1,__NG_051846.1,WP_001261740.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846234.1,NG_052246.1,No,AAM27275.1,AF418284.1,+,2793,3584,+,101,892,,,,aadA2,2026-03-24.1,__NG_052246.1,WP_071846234.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846229.1,NG_052241.1,No,AAL59383.1,AF458081.1,+,635,1426,+,101,892,,,,aadA2,2026-03-24.1,__NG_052241.1,WP_071846229.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846231.1,NG_052243.1,No,AAL59387.1,AF458082.1,+,1316,2104,+,101,889,,,,aadA2,2026-03-24.1,__NG_052243.1,WP_071846231.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846232.1,NG_052244.1,No,AAL99978.1,AF486817.1,+,558,1349,+,101,892,,,,aadA2,2026-03-24.1,__NG_052244.1,WP_071846232.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846236.1,NG_052248.1,No,AAM95633.1,AF530636.1,+,107,898,+,101,892,,,,aadA2,2026-03-24.1,__NG_052248.1,WP_071846236.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846237.1,NG_052249.1,No,AAM95634.1,AF530637.1,+,107,898,+,101,892,,,,aadA2,2026-03-24.1,__NG_052249.1,WP_071846237.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_011222095.1,NG_052324.1,No,CAG26026.1,AJ639924.1,+,29171,29962,+,101,892,15528648,,,aadA2,2026-03-24.1,__NG_052324.1,WP_011222095.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846273.1,NG_052316.1,No,AAN46366.1,AY127872.1,+,64,855,+,64,855,17123653,,,aadA2,2026-03-24.1,__NG_052316.1,WP_071846273.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846274.1,NG_052319.1,No,AAS13763.1,AY522923.1,+,1515,2306,+,101,892,16339607,,,aadA2,2026-03-24.1,__NG_052319.1,WP_071846274.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846337.1,NG_052430.1,No,AAZ91700.1,DQ157750.1,+,1775,2566,+,101,892,,,,aadA2,2026-03-24.1,__NG_052430.1,WP_071846337.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846345.1,NG_052442.1,No,ABG76946.1,DQ778999.1,+,107,898,+,101,892,17298366,,,aadA2,2026-03-24.1,__NG_052442.1,WP_071846345.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_032491964.1,NG_052487.1,No,ABQ96627.1,EF592571.1,+,1550,2341,+,101,892,17698627,,,aadA2,2026-03-24.1,__NG_052487.1,WP_032491964.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846386.1,NG_052521.1,No,ACH72991.1,EU977566.1,+,698,1489,+,101,892,19531268,,,aadA2,2026-03-24.1,__NG_052521.1,WP_071846386.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846246.1,NG_052269.1,No,CAR85792.1,FM242710.2,+,2102,2893,+,101,892,,,,aadA2,2026-03-24.1,__NG_052269.1,WP_071846246.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_140423281.1,NG_065408.1,Yes,,FN178517.2,+,2535,3326,+,101,892,,,,aadA2,2026-03-24.1,__NG_065408.1,WP_140423281.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_140423280.1,NG_065407.1,No,CAZ44311.2,FN396367.2,+,107,898,+,101,892,,,,aadA2,2026-03-24.1,__NG_065407.1,WP_140423280.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_140423279.1,NG_065406.1,No,CAZ44322.2,FN396378.2,+,107,898,+,101,892,,,,aadA2,2026-03-24.1,__NG_065406.1,WP_140423279.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846369.1,NG_052496.1,No,CCC21012.1,FR875302.1,+,988,1779,+,101,892,,,,aadA2,2026-03-24.1,__NG_052496.1,WP_071846369.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846370.1,NG_052497.1,No,CCC21015.1,FR875303.1,+,987,1778,+,101,892,,,,aadA2,2026-03-24.1,__NG_052497.1,WP_071846370.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846308.1,NG_052375.1,No,ADO00936.1,GU060316.1,+,62,853,+,62,853,23717399,,,aadA2,2026-03-24.1,__NG_052375.1,WP_071846308.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846309.1,NG_052376.1,No,ADO00949.1,GU060321.1,+,959,1750,+,101,892,23717399,,,aadA2,2026-03-24.1,__NG_052376.1,WP_071846309.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846248.1,NG_052273.1,No,ADC32462.1,GU358477.1,+,107,898,+,101,892,20667885,,,aadA2,2026-03-24.1,__NG_052273.1,WP_071846248.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071593216.1,NG_052038.1,No,ADU56648.1,HM451497.1,+,2193,2984,+,101,892,20956589,,,aadA2,2026-03-24.1,__NG_052038.1,WP_071593216.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846367.1,NG_052494.1,No,AEH26345.1,HQ730120.1,+,3743,4534,+,101,892,,,,aadA2,2026-03-24.1,__NG_052494.1,WP_071846367.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_001206356.1,NG_047343.1,No,AFI72851.1,JQ364967.1,+,70134,70925,+,101,892,22511964,,,aadA2,2026-03-24.1,__NG_047343.1,WP_001206356.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846198.1,NG_052156.1,No,AFI58054.1,JQ414042.1,+,107,898,+,101,892,23180481,,,aadA2,2026-03-24.1,__NG_052156.1,WP_071846198.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071593219.1,NG_052041.1,No,AGZ80891.1,KF386160.1,+,31,822,+,31,822,,,,aadA2,2026-03-24.1,__NG_052041.1,WP_071593219.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846319.1,NG_052402.1,No,AGY30815.1,KF525290.1,+,107,898,+,101,892,,,,aadA2,2026-03-24.1,__NG_052402.1,WP_071846319.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_070342372.1,NG_051906.1,No,AIA09238.1,KJ575543.1,+,1739,2530,+,101,892,,,,aadA2,2026-03-24.1,__NG_051906.1,WP_070342372.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA2,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_048207712.1,NG_052537.1,Yes,,KQ087610.1,+,27517,28308,+,101,892,,,,aadA2,2026-03-24.1,__NG_052537.1,WP_048207712.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA21,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA21,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_063840435.1,NG_047344.1,No,AAN87151.1,AY171244.1,+,47,838,+,47,838,12760885,,,aadA21,2026-03-24.1,__NG_047344.1,WP_063840435.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA21,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA21,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_063840436.1,NG_047345.1,No,ABL95942.1,EF051038.1,+,1316,2107,+,101,892,17283193,,,aadA21,2026-03-24.1,__NG_047345.1,WP_063840436.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA22,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA22,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_032491824.1,NG_047346.1,No,CAK12750.1,AM261837.1,+,74,865,+,74,865,17597002,,,aadA22,2026-03-24.1,__NG_047346.1,WP_032491824.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA22,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA22,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_024198294.1,NG_047348.1,No,ACL98098.1,FJ591054.1,+,68,859,+,68,859,,,,aadA22,2026-03-24.1,__NG_047348.1,WP_024198294.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA22,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA22,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846321.1,NG_052404.1,No,AGY30818.1,KF525293.1,+,107,898,+,101,892,,,,aadA22,2026-03-24.1,__NG_052404.1,WP_071846321.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA25,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_011113049.1,NG_052317.1,No,AAP15299.1,AY232671.1,+,549,1340,+,101,892,,,,aadA25,2026-03-24.1,__NG_052317.1,WP_011113049.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA25,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_024131607.1,NG_052538.1,Yes,,CP000604.1,+,126104,126895,+,101,892,,,,aadA25,2026-03-24.1,__NG_052538.1,WP_024131607.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA25,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_014325834.1,NG_047352.1,No,AET15272.1,CP003022.1,+,336789,337580,+,101,892,22001175,,,aadA25,2026-03-24.1,__NG_047352.1,WP_014325834.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA27,,ANT(3'')-II family aminoglycoside nucleotidyltransferase AadA27,core,AMR,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN/STREPTOMYCIN,WP_050041693.1,NG_054660.1,No,UVB02487.1,CP082146.1,-,3239,4027,+,101,889,26896789,,,aadA27,2026-03-24.1,__NG_054660.1,WP_050041693.1,Aminoglycoside,Spectinomycin/Streptomycin,existing,,,,
,aadA3,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_063840441.1,NG_047353.1,No,AAC14728.1,AF047479.2,+,1296,2087,+,101,892,1314803,,,aadA3,2026-03-24.1,__NG_047353.1,WP_063840441.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA3,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846346.1,NG_052443.1,No,ABG88877.1,DQ789597.1,+,979,1770,+,101,892,18710912,,,aadA3,2026-03-24.1,__NG_052443.1,WP_071846346.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA3,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846364.1,NG_052490.1,No,ABV21793.1,EU116441.1,+,1266,2057,+,101,892,18710912,,,aadA3,2026-03-24.1,__NG_052490.1,WP_071846364.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA3,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_063840442.1,NG_047354.1,No,ACJ63285.1,FJ196388.1,+,16,807,+,16,807,19131424,,,aadA3,2026-03-24.1,__NG_047354.1,WP_063840442.1,Aminoglycoside,Streptomycin,existing,,,,
,aadA3,,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_071846278.1,NG_052325.1,No,AIA09138.1,KJ546440.1,+,103,894,+,101,892,,,,aadA3,2026-03-24.1,__NG_052325.1,WP_071846278.1,Aminoglycoside,Streptomycin,existing,,,,
